"regex_pattern","response"
"shut down|stop|goodbye","goodbye!"
"hello","hello!"
"birthday","happy birthday!"
"nightmare","nightmare nightmare nightmare nightmare nightmare nightmare nightmare nightmare nightmare nightmare nightmare!"
"hooyah|hoya","hooyah!"
"based","based on what?"
"cringe","I am cringe, but I am free!"
"who asked","It's me. I'm they guy who asked!"
"ligma","ligma balls!"
"sugondese","sugondese nuts!"
"updog|up dog","what is updog?"
"fitness","fitness nuts in your mouth"
"bofa","bofa deez nuts"
"candice","candice nuts fit in your mouth"
"penny trading","penny trading your mom"
